Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,0.079,0.079,0.079,0.083,0.079,0.079,0.079,0.079,0.078,0.079,0.078,0.079,0.079,0.102,0.122,0.133,0.131,0.131,0.273,0.476,0.119,0.136,0.115,0.078,0.079,0.101,0.128,0.178,0.305,0.117,0.337,1.374,0.111,0.466,0.114,0.081,0.08,0.102,0.339,0.16,0.198,0.101,0.877,0.193,0.108,0.111,0.116,0.079,0.079,0.102,0.143,0.163,0.149,0.119,0.479,0.588,0.103,0.13,0.108,0.079,0.079,0.102,0.294,0.261,0.134,0.111,0.19,0.197,0.107,0.153,0.13,0.079,0.079,0.102,0.656,0.333,0.132,0.124,1.262,0.124,0.102,0.262,0.106,0.079,0.079,0.079,0.079,0.078,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.078
0:10:00,0.079,0.079,0.079,0.083,0.079,0.078,0.079,0.079,0.078,0.079,0.078,0.079,0.079,0.103,0.125,0.141,0.143,0.131,0.24,0.445,0.118,0.135,0.113,0.078,0.079,0.101,0.129,0.191,0.343,0.117,0.357,1.362,0.113,0.419,0.112,0.081,0.08,0.102,0.335,0.17,0.189,0.102,0.787,0.216,0.109,0.111,0.115,0.078,0.079,0.102,0.144,0.166,0.145,0.12,0.469,0.581,0.103,0.134,0.109,0.079,0.079,0.102,0.315,0.274,0.137,0.111,0.18,0.186,0.107,0.147,0.132,0.079,0.079,0.102,0.655,0.314,0.139,0.132,1.156,0.123,0.101,0.258,0.106,0.079,0.079,0.079,0.079,0.078,0.078,0.078,0.078,0.078,0.079,0.079,0.078,0.078
0:20:00,0.079,0.079,0.079,0.082,0.078,0.078,0.078,0.078,0.078,0.079,0.078,0.078,0.079,0.102,0.127,0.148,0.154,0.133,0.228,0.44,0.119,0.135,0.112,0.078,0.079,0.101,0.128,0.196,0.337,0.118,0.36,1.341,0.113,0.427,0.113,0.081,0.079,0.102,0.331,0.169,0.199,0.101,0.734,0.229,0.109,0.112,0.115,0.078,0.079,0.102,0.148,0.176,0.153,0.12,0.458,0.567,0.103,0.134,0.109,0.079,0.079,0.102,0.325,0.274,0.144,0.112,0.176,0.201,0.107,0.15,0.129,0.079,0.079,0.102,0.648,0.309,0.145,0.133,1.111,0.124,0.101,0.263,0.106,0.078,0.079,0.079,0.079,0.078,0.078,0.078,0.078,0.078,0.079,0.079,0.078,0.078
0:30:00,0.079,0.079,0.079,0.082,0.078,0.078,0.078,0.078,0.078,0.079,0.078,0.078,0.079,0.102,0.127,0.151,0.16,0.136,0.221,0.436,0.121,0.137,0.113,0.078,0.079,0.101,0.132,0.196,0.34,0.119,0.363,1.323,0.114,0.426,0.113,0.081,0.08,0.102,0.322,0.169,0.198,0.102,0.71,0.234,0.111,0.112,0.115,0.078,0.079,0.102,0.151,0.175,0.157,0.121,0.447,0.568,0.103,0.137,0.109,0.079,0.079,0.102,0.331,0.274,0.149,0.114,0.177,0.207,0.107,0.153,0.133,0.079,0.079,0.102,0.646,0.312,0.151,0.135,1.072,0.123,0.101,0.26,0.106,0.078,0.079,0.079,0.079,0.077,0.078,0.078,0.078,0.078,0.078,0.079,0.078,0.078
0:40:00,0.079,0.079,0.079,0.082,0.078,0.078,0.078,0.078,0.078,0.079,0.078,0.078,0.079,0.102,0.128,0.154,0.163,0.133,0.217,0.434,0.124,0.137,0.114,0.078,0.079,0.101,0.129,0.2,0.335,0.12,0.364,1.311,0.115,0.428,0.114,0.081,0.079,0.102,0.316,0.171,0.198,0.102,0.692,0.243,0.112,0.111,0.117,0.078,0.079,0.102,0.155,0.178,0.159,0.121,0.446,0.571,0.103,0.139,0.109,0.079,0.079,0.102,0.335,0.281,0.157,0.115,0.178,0.21,0.108,0.157,0.137,0.079,0.079,0.102,0.636,0.317,0.155,0.136,1.038,0.123,0.101,0.259,0.107,0.078,0.079,0.079,0.079,0.077,0.078,0.078,0.078,0.078,0.078,0.079,0.079,0.078
0:50:00,0.079,0.079,0.079,0.082,0.078,0.078,0.078,0.078,0.078,0.079,0.078,0.078,0.079,0.102,0.13,0.156,0.167,0.133,0.215,0.431,0.127,0.138,0.117,0.078,0.079,0.101,0.13,0.204,0.337,0.121,0.363,1.302,0.117,0.429,0.115,0.081,0.079,0.102,0.316,0.179,0.196,0.102,0.668,0.249,0.114,0.112,0.118,0.078,0.079,0.102,0.155,0.186,0.162,0.122,0.447,0.572,0.103,0.143,0.109,0.079,0.079,0.102,0.339,0.288,0.162,0.116,0.18,0.212,0.108,0.162,0.136,0.079,0.079,0.102,0.634,0.32,0.158,0.136,1.003,0.123,0.101,0.269,0.107,0.079,0.079,0.079,0.079,0.078,0.078,0.079,0.079,0.079,0.079,0.079,0.079,0.078
1:00:00,0.079,0.079,0.079,0.082,0.078,0.078,0.078,0.078,0.078,0.079,0.078,0.079,0.079,0.102,0.13,0.158,0.168,0.134,0.213,0.429,0.128,0.14,0.119,0.078,0.079,0.101,0.131,0.205,0.336,0.123,0.365,1.292,0.118,0.425,0.118,0.081,0.079,0.102,0.317,0.184,0.196,0.102,0.662,0.25,0.116,0.113,0.119,0.078,0.079,0.102,0.157,0.191,0.162,0.123,0.448,0.574,0.103,0.146,0.11,0.079,0.079,0.102,0.34,0.292,0.165,0.117,0.182,0.212,0.109,0.164,0.135,0.079,0.079,0.102,0.634,0.318,0.16,0.136,0.97,0.123,0.101,0.264,0.108,0.079,0.079,0.079,0.079,0.077,0.078,0.078,0.078,0.079,0.079,0.079,0.078,0.078
1:10:00,0.079,0.079,0.079,0.082,0.078,0.078,0.078,0.078,0.078,0.079,0.078,0.079,0.079,0.102,0.132,0.16,0.171,0.134,0.212,0.427,0.129,0.142,0.12,0.078,0.079,0.101,0.132,0.207,0.336,0.124,0.365,1.286,0.119,0.431,0.12,0.081,0.079,0.102,0.314,0.191,0.197,0.102,0.639,0.253,0.117,0.113,0.121,0.078,0.078,0.102,0.16,0.199,0.165,0.123,0.452,0.574,0.103,0.15,0.111,0.079,0.079,0.102,0.341,0.296,0.168,0.118,0.185,0.214,0.109,0.166,0.135,0.079,0.079,0.102,0.63,0.319,0.162,0.136,0.939,0.123,0.101,0.271,0.108,0.079,0.079,0.078,0.079,0.077,0.078,0.078,0.078,0.078,0.079,0.079,0.078,0.078
1:20:00,0.079,0.079,0.079,0.082,0.078,0.078,0.078,0.078,0.078,0.079,0.078,0.079,0.079,0.102,0.133,0.162,0.175,0.134,0.211,0.423,0.13,0.145,0.124,0.078,0.079,0.101,0.132,0.208,0.336,0.125,0.365,1.284,0.12,0.432,0.122,0.081,0.079,0.102,0.307,0.198,0.197,0.102,0.628,0.255,0.119,0.114,0.123,0.079,0.078,0.102,0.161,0.201,0.167,0.124,0.455,0.577,0.103,0.151,0.112,0.079,0.079,0.102,0.342,0.299,0.169,0.119,0.186,0.217,0.11,0.168,0.134,0.079,0.079,0.102,0.63,0.318,0.163,0.136,0.906,0.123,0.101,0.274,0.109,0.079,0.079,0.078,0.079,0.077,0.078,0.078,0.078,0.078,0.079,0.079,0.078,0.078
1:30:00,0.079,0.079,0.079,0.082,0.078,0.078,0.078,0.079,0.078,0.079,0.078,0.079,0.079,0.102,0.134,0.166,0.181,0.134,0.215,0.42,0.131,0.147,0.125,0.078,0.079,0.101,0.133,0.212,0.34,0.125,0.369,1.285,0.121,0.451,0.124,0.081,0.079,0.101,0.298,0.193,0.203,0.101,0.627,0.26,0.12,0.114,0.124,0.079,0.078,0.101,0.162,0.212,0.173,0.123,0.453,0.571,0.104,0.157,0.113,0.079,0.079,0.101,0.345,0.303,0.173,0.119,0.189,0.221,0.11,0.172,0.135,0.079,0.079,0.102,0.604,0.321,0.165,0.136,0.884,0.124,0.101,0.282,0.109,0.079,0.079,0.078,0.079,0.078,0.078,0.078,0.078,0.078,0.079,0.079,0.078,0.078
