Field Group

Plate Comment:	
Procedure Summary
  Plate Type:              Corning 96 well for LogPhase600
  Plate Number:            3
  Discontinuous Kinetics:  Runtime 01:00:00 (D:HH:MM), Interval 00:10:00 (HH:MM:SS), 145 Reads (max)
  Read:                    600 nm
  Incubator:               On
    Temperature setpoint:  37 °C
    Temperature gradient:  On
  Shaking:                 Off		
			
			

600

Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	0.079	0.082	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.101	0.139	0.124	0.156	0.112	0.249	0.145	0.113	0.191	0.122	0.079	0.079	0.101	0.133	0.184	0.160	0.105	0.117	0.207	0.110	0.132	0.117	0.079	0.079	0.103	0.148	0.133	0.179	0.103	0.178	0.135	0.101	0.221	0.115	0.079	0.079	0.103	0.137	0.184	0.176	0.105	0.145	0.193	0.106	0.212	0.111	0.079	0.079	0.103	0.133	0.124	0.220	0.108	0.152	0.182	0.107	0.179	0.110	0.079	0.079	0.103	0.164	0.172	0.191	0.122	0.142	0.169	0.116	0.196	0.107	0.079	0.079	0.079	0.080	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.079
0:10:00	0.079	0.083	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.101	0.160	0.147	0.153	0.117	0.236	0.157	0.115	0.202	0.116	0.079	0.079	0.101	0.151	0.202	0.159	0.105	0.126	0.204	0.109	0.133	0.117	0.079	0.079	0.103	0.157	0.136	0.172	0.103	0.189	0.143	0.101	0.224	0.112	0.079	0.079	0.104	0.138	0.182	0.175	0.105	0.152	0.186	0.107	0.210	0.114	0.079	0.079	0.103	0.135	0.139	0.226	0.110	0.180	0.176	0.108	0.179	0.110	0.078	0.079	0.103	0.203	0.174	0.191	0.125	0.180	0.170	0.115	0.239	0.110	0.079	0.079	0.079	0.080	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.079
0:20:00	0.079	0.082	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.101	0.170	0.160	0.154	0.117	0.225	0.165	0.116	0.210	0.115	0.079	0.079	0.101	0.161	0.198	0.165	0.106	0.141	0.191	0.110	0.150	0.115	0.079	0.079	0.103	0.160	0.149	0.166	0.103	0.187	0.146	0.102	0.215	0.111	0.079	0.079	0.103	0.142	0.192	0.165	0.106	0.163	0.200	0.108	0.217	0.117	0.079	0.079	0.102	0.142	0.155	0.224	0.111	0.183	0.184	0.109	0.186	0.115	0.078	0.079	0.103	0.204	0.179	0.194	0.126	0.200	0.172	0.118	0.242	0.112	0.079	0.079	0.079	0.080	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.079
0:30:00	0.079	0.083	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.101	0.177	0.166	0.153	0.116	0.221	0.169	0.115	0.216	0.118	0.079	0.079	0.101	0.159	0.194	0.174	0.107	0.151	0.185	0.111	0.157	0.114	0.078	0.079	0.103	0.163	0.152	0.166	0.103	0.182	0.151	0.102	0.207	0.112	0.078	0.079	0.103	0.160	0.196	0.161	0.106	0.172	0.209	0.110	0.223	0.119	0.078	0.079	0.102	0.147	0.159	0.219	0.112	0.182	0.191	0.110	0.189	0.114	0.078	0.078	0.103	0.200	0.183	0.195	0.129	0.195	0.178	0.120	0.239	0.112	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.079
0:40:00	0.079	0.083	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.101	0.182	0.166	0.153	0.117	0.219	0.173	0.117	0.218	0.120	0.079	0.079	0.101	0.161	0.193	0.177	0.109	0.152	0.184	0.111	0.160	0.112	0.079	0.079	0.103	0.165	0.154	0.164	0.103	0.180	0.153	0.103	0.207	0.113	0.079	0.079	0.103	0.163	0.194	0.160	0.107	0.174	0.203	0.110	0.225	0.120	0.079	0.079	0.103	0.155	0.158	0.209	0.113	0.182	0.196	0.110	0.189	0.113	0.079	0.079	0.103	0.196	0.186	0.197	0.130	0.191	0.182	0.120	0.236	0.112	0.079	0.079	0.079	0.080	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.079
0:50:00	0.079	0.083	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.101	0.185	0.167	0.156	0.119	0.215	0.178	0.119	0.216	0.122	0.079	0.079	0.101	0.166	0.192	0.179	0.111	0.155	0.185	0.111	0.164	0.113	0.079	0.079	0.103	0.170	0.158	0.166	0.103	0.181	0.154	0.103	0.207	0.114	0.079	0.079	0.104	0.168	0.192	0.162	0.108	0.176	0.199	0.111	0.227	0.119	0.079	0.079	0.103	0.162	0.159	0.205	0.113	0.183	0.200	0.111	0.188	0.112	0.079	0.079	0.103	0.193	0.188	0.197	0.131	0.190	0.184	0.121	0.233	0.112	0.079	0.079	0.079	0.080	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.079
1:00:00	0.079	0.084	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.080	0.101	0.189	0.170	0.158	0.120	0.212	0.181	0.120	0.214	0.123	0.079	0.079	0.101	0.168	0.192	0.181	0.111	0.159	0.185	0.112	0.167	0.114	0.079	0.079	0.103	0.175	0.159	0.168	0.103	0.183	0.154	0.104	0.205	0.115	0.079	0.079	0.104	0.170	0.191	0.163	0.109	0.178	0.197	0.111	0.225	0.118	0.079	0.079	0.103	0.165	0.160	0.203	0.113	0.183	0.203	0.111	0.188	0.111	0.079	0.079	0.103	0.191	0.188	0.197	0.131	0.190	0.186	0.122	0.231	0.113	0.079	0.079	0.079	0.080	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.079
1:10:00	0.079	0.084	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.101	0.194	0.175	0.161	0.121	0.211	0.184	0.120	0.210	0.123	0.079	0.079	0.101	0.172	0.192	0.184	0.113	0.163	0.184	0.112	0.172	0.114	0.079	0.079	0.104	0.179	0.162	0.170	0.103	0.185	0.155	0.104	0.204	0.116	0.079	0.079	0.104	0.174	0.191	0.164	0.110	0.180	0.196	0.112	0.225	0.119	0.079	0.079	0.103	0.167	0.161	0.201	0.114	0.184	0.205	0.112	0.188	0.112	0.078	0.079	0.103	0.192	0.189	0.198	0.132	0.189	0.188	0.123	0.228	0.114	0.079	0.079	0.079	0.080	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.079
1:20:00	0.079	0.083	0.079	0.079	0.078	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.101	0.195	0.175	0.164	0.122	0.211	0.186	0.121	0.206	0.123	0.078	0.079	0.101	0.174	0.191	0.188	0.114	0.165	0.185	0.112	0.174	0.114	0.078	0.079	0.103	0.183	0.164	0.172	0.103	0.186	0.157	0.105	0.202	0.117	0.078	0.079	0.104	0.175	0.192	0.165	0.110	0.181	0.196	0.113	0.225	0.119	0.078	0.079	0.102	0.168	0.160	0.201	0.115	0.185	0.208	0.112	0.190	0.112	0.078	0.078	0.103	0.193	0.190	0.198	0.132	0.191	0.191	0.124	0.227	0.114	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.079
1:30:00	0.079	0.083	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.079	0.080	0.101	0.199	0.178	0.166	0.122	0.209	0.189	0.121	0.204	0.123	0.079	0.079	0.101	0.177	0.189	0.189	0.113	0.168	0.185	0.113	0.174	0.115	0.079	0.079	0.103	0.188	0.165	0.172	0.103	0.186	0.159	0.105	0.200	0.117	0.079	0.079	0.103	0.178	0.190	0.165	0.110	0.182	0.195	0.114	0.222	0.120	0.079	0.079	0.102	0.171	0.161	0.198	0.115	0.187	0.209	0.113	0.190	0.112	0.079	0.079	0.103	0.197	0.191	0.200	0.132	0.191	0.194	0.124	0.225	0.116	0.079	0.079	0.079	0.080	0.079	0.079	0.079	0.079	0.079	0.080	0.079	0.079	0.079
